Opportunity_Rec_ID__c,AccountId,Contact__c,Site_Address_Billing_Address__c,Site_Address_Shipping_Address__c,Name,Probability,CreatedDate,CloseDate,Stage_RecID,StageName,Account_Executive__c,AE_Member_RecID,Strategic_Consultant__c,SC_Member_RecID,OwnerId,Location_RecID,Location__c,Department__c,Solution_Engineer_1__c,Solution_Engineer_2__c,Non_Recurring__c,Amount,Full_Agreement_Term__c,MRR_Delta__c,Sell_Quote__c,Sell_Quote_EXP_Date__c,pricebook2id,product2id
614,59180,45655,40924,40924,Kingspan RFP,99,2/11/2014,5/30/2014,11,Signed,Scott Turner,205,,0,205,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
615,59180,45655,40924,40924,Kingspan - Wireless,20,2/11/2014,3/31/2014,3,Closing,Scott Turner,205,,0,205,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
623,19419,1819,1158,1158,Noble Energy-Malabo-Cisco Phones,20,2/11/2014,4/2/2014,3,Closing,Elmer Mosbey,173,Kenneth Crisp,253,173,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
635,59180,45655,40924,40924,MRC - Cloud,20,2/12/2014,8/31/2014,3,Closing,Scott Turner,205,,0,205,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
643,56518,32592,38262,38262,Bancomer Change Order On site Install,20,2/13/2014,4/29/2014,3,Closing,Scott Turner,205,Richard Remels,230,205,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
647,19419,1819,1158,1158,Noble Energy-Houston-Cisco ISE - ,20,2/13/2014,3/31/2014,3,Closing,Elmer Mosbey,173,Kenneth Crisp,253,173,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
648,19419,1819,1158,1158,Noble Energy-Greeley-Redundancy Project,99,2/13/2014,3/21/2014,11,Signed,Elmer Mosbey,173,Kenneth Crisp,253,173,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
649,19419,1819,1158,1158,Noble Energy-Houston-WAP Brackets,99,2/13/2014,2/21/2014,11,Signed,Elmer Mosbey,173,Kenneth Crisp,253,173,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
657,56518,32592,38262,38262,Bancomer-Houston-Shelf for Network Rack,99,2/14/2014,2/27/2014,11,Signed,Scott Turner,205,Kenneth Crisp,253,205,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
660,19419,1819,1158,1158,Noble Energy-Houston-IPS Smartnet Renewal,20,2/14/2014,3/31/2014,3,Closing,Elmer Mosbey,173,Kenneth Crisp,253,173,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
684,56518,32592,38262,38262,MRC -  SIP,0,2/18/2014,5/30/2014,16,Order Porter Approved,Scott Turner,205,David Henley,163,205,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
